职位名,学历要求,工作年限,公司名,公司地址,薪资,岗位描述
Python（AI人工智能）开发实习生,大专,不限,北京百知教育科技有限公司,北京中关村软件园,8千-1.6万,【任职资格】：1、计算机相关专业、专科及以上学历；2、坚实的计算机基础，对人工智能（机器学习和深度学习）有充分的好奇心和探索欲3、有一定的英文文档阅读能力，熟悉C语言、Java、.Net、PHP或Python编程，任意一门语言者优先；4、勇于面对挑战，乐于思考和学习，有独立解决问题的能力；【薪金福利】：1：富有竞争力的薪酬水平和其他福利津贴2：首月入职12K起，健全的五险一金3：给予完善的绩效考核，年终奖金及定期调薪4：完善的培养体系和晋升机制5：带薪休假（年假，婚假，丧假，病假，培训假等）北京中关村软件园欢迎您！
Python研发高级工程师,本科,3-5年,深圳市云盾科技有限公司,新区大道1号梅龙阁308,1.5万-2.5万,"负责物联网安全运行相关产品研发（工资15k—25k，期权激励）。1、3年以上Python研发工作经验，本科以上学历，计算机相关专业，30岁以下。2、熟练使用Python，常用数据结构3、熟悉Python多进程模块4、熟悉通过Python操作MySql， Redis， Http5、熟悉网络协议NMAP，SNMP及MIB, Onvif，STP6、有物联网终端探测扫描相关工作经验，尤其是电力物联网终端或视频监控等相关工作经验优先。"
Python工程师,大专,1-3年,深圳捷盟网络科技有限公司,深圳市宝安区西乡街道旭生大厦六栋综合楼八楼811,1.5万-3万,"岗位职责：1、负责棋牌游戏服务器端架构、功能开发以及服务器日常维护；2、负责性能、网络、数据等方面的优化；3、保证服务端的稳定性、可扩展性、安全性和效率。岗位要求：1、两年以上互联网服务器端开发经验，代码风格良好；2、熟练掌握Python语言及相关的库，熟悉linux环境；3、熟悉Twisted,有相关开发经验者优先；4、熟悉多线程、多进程、socket、数据库等相关技术；5、具备高并发流量下的请求处理经验；6、有能阅读英文文档并解决工作中遇到的问题的能力；7、有强烈的求知欲,有较强的团队合作精神。"
python爬虫工程师,本科,1-3年,深圳斯达领科网络科技有限公司,深圳市龙岗区深圳市龙岗区坂田街道五和大道南2号万科星火ONLINE天璇仓 7栋 227室,7千-1.1万,岗位职责：（爬虫与数据分析结合）1. 负责公司爬虫系统的架构设计与开发；2. 开发、维护爬虫系统，包括调度、抓取、维护、验证等爬虫工作；3. 负责网络数据源（网站、APP等）进行数据抓取，为业务部门提供数据支持；4. 负责抽取算法设计，保证抽取、去重、分类、解析、增量融合入库等流程之后的数据结果。任职要求：1. 计算机、信息管理、数学、统计学相关专业，大专及以上学历；2. 一年以上实际爬虫开发、内容提取工作经验，有良好的编码习惯；3. 精通Python，熟练掌握一种开源爬虫框架，如scrapy、webmagic，有研发爬虫框架经验者优先；4. 熟悉Javascript、HTML、CSS、正则表达式、Path等信息抽取技术熟悉抓包分析请求并模拟；5. 熟悉Selenium、Appium等技术；6. 善于独立分析并解决核心问题，如JavaScript反爬、爬虫策略、防屏蔽规则、验证码识别技术等，能独立解决实际开发过程碰到的各类问题；7. 熟悉oracle、mysql、mongodb等数据库的常规使用；8. 对技术热衷，责任感强，具有良好的团队合作精神。
RPA软件售前工程师（Python）,大专,1-3年,上海艺赛旗软件股份有限公司,客户现场,7千-1万,职位信息1. 负责机器人流程自动化RPA产品的售前支持工作；2. 负责支持销售人员完成客户需求交流、PPT演讲及产品Demo演示、编写技术方案、产品POC测试以及整个投标过程；3. 负责售前阶段文档资料的编写：包括公司资料、可行性报告、技术建议书、项目规划建议等；4. 根据典型客户的应用场景，进行价值提炼与分析，提出产品优化的建议；5. 负责面向客户、内部员工与渠道合作伙伴的产品和案例培训；6. 完成上级领导交给的其他工作任务；岗位任职资格：1. 本科以上学历，计算机相关专业，熟悉python优先；2. 具有2年以上软件产品售前工作经验，了解运营商、金融相关行业的业务和IT环境；3. 熟悉安全技术、网络知识，能安装操作Linux、UNIX等操作系统，了解常见数据库系统；4. 熟练使用售前工具：Word、PPT、Visio、Project等；5. 形象良好、语言表达和思维逻辑清晰、书面表达能力强、演讲能力强。6. 能够适应出差的工作安排。
python开发工程师,本科,3-5年,深圳市大寰机器人科技有限公司,深圳市深圳虚拟大学园院校产业化综合楼A401,1万-1.5万,岗位职责1.系统业务逻辑设计;2.数据存储和处理消息队列处理;3.系统后端接口设计与对接；4.服务接口设计与开发，5.系统部署与项目交付。任职要求：1.本科以上学历，软件数学开发相关专业，三年以上Python项目开发经验；2.精通Python，熟悉Django开发框架；3.精通SQL语言.熟悉MySQL.MongoDB.Hbase.OpenTSDB多个数据库设计（至少包含一种NoSQL）；4.具备数据算法设计能力；5.熟悉数据集群设计与规划。
Python 开发/运维/自动化测试/包住,不限,不限,深圳市创联测试技术有限公司,深圳市南山区科技园大冲商务中心C座20楼,3.5千-7千,岗位职责：1、协助设计、开发、维护爬虫系统及数据抓取；2、收集竞争对手数据并分析优劣势；3、参与新平台开发；4、协助编写接口。任职要求：1、大专以上学历，理工科专业优先，条件优秀者可释放放宽；2、喜欢互联网，愿意与公司一起发展；3、责任心强、团队合作意识，良好的沟通能力、思路清晰、学习能力。公司福利1、5天7小时制，六险一金；2、每周三、周五下午茶福利；3、法定节假日有对应节假日福利；4、一年一次国内游，一次国外游；5、年终奖丰厚，转正员工至少1个月工资；6、18、19届实习生或储备技术人才岗有300/月的餐补，可向公司申请免费住宿。
python开发工程师,本科,3-5年,深圳合生网络科技有限公司,华强北,1.5万-2万,1、3年以上Python以及Django开发工作经验，熟悉Oracle数据库;2、2年以上数据采集，有金融工程项目经验;3、对算法和数据结构比较了解，并能灵活运用者优先;4、良好的自我驱动与学习能力。
python工程师,本科,1-3年,杭州同帆科技有限公司,威新软件园,1万-1.5万,1、本科及以上学历，2年以上python相关经验； 2、有独立开发经验，有扎实的编程功底、良好的编程习惯。 3、工作耐心，善于学习，有证券相关经验的优先； 4、特别匹配的大专也考虑；
python开发工程师,本科,3-5年,上海易宝软件有限公司深圳分公司,深圳市龙岗区金荣达科技工业园3栋4楼,1.2万-2万,1、3年以上python开发经验；2、熟练使用基本的数据结构和算法，深入理解多进程、多线程、网络编程等相关技术；3、熟练掌握Django、Tornado、Flask等主流框架，深入理解框架实现原理及特性；4、熟悉Python的高级特性，深入理解各种设计模式和应用场景；熟悉Python的性能分析和优化；5、熟悉Internet常用协议，如HTTP、TCP/IP、熟悉RESTful规范；6、熟悉分布式、缓存、消息等机制者优先；7、具有良好的沟通能力、团队合作能力和学习能力；8、熟悉云计算及虚拟化技术者优先；9、本科及以上学历；
