职位名,学历要求,工作年限,公司名,公司地址,薪资,岗位描述
项目管培生（市场推广策划+数据分析+6-8K）,本科,无经验,深圳前海五八金米互联网金融服务有限公司,皇冠科技园1栋J座3楼,6千-8千,"【新来的小伙伴，未来你将负责】1. 通过客户调查，提出产品要素构想，进行产品8要素原型策划；2. 通过竞争调查，进行swot分析、波特5力分析、价格弹性分析，制定产品组合、价格方案；3. 在市场总监指导下，完成产品形象视觉设计，制定市场投放计划，进行营销投放管理；4. 制定销售促进方案，周期迭代市场攻略、渠道促销，提升渠道效率提标；5. 优化数据模型，完善项目管理数据控制体系，优化关键KPI指标，对项目进行综合管理。6. 执行项目管理中跨部门沟通事项，推进项目扩张布局、产品升级；7. 完成项目总监交办的其他事项。【你需要具备以下技能包】1.2018/2019本科应届毕业生，重本及以上优先考虑；2.对市场营销、策划、渠道管理、数据分析有着浓厚的兴趣，具备市场营销、广告策划专业知识者优先；3.具有良好的自学能力、自制力，主动积极，沟通和协调能力强；4.逻辑思维好，善于通过数据、现象对事件进行分析归纳；5.性格主动、勤奋坚韧、抗压能力强。—颜值可以不高，但logic一定彪悍；—服装可以不潮，但Idea一定够屌！—爱拼博，爱创造，爱比赛；—宁可犯错也不要等待；—宁可艰辛也不要平凡。【加入我们，您将得到】1.完善的职级管理和职位晋级体系；2.学院制的人才培训计划，覆盖个人职素、管理知识、专业知识；3.CEO亲自培养，进驻优秀企业参观、访问、学习；4.一群年轻人在一起的办公，简单、快乐、高效的工作氛围；5.五险一金，年底双薪，加班零食，下午茶，团队团建，出国旅游,带薪年假。加盟我们，你将收获： (神一般的队友，猪一般的对手)不亏：有竞争力的薪酬不累：与业界顶尖的产品、市场团队为伍不气：优秀的咨询顾问与客服团队的支持"
数据分析/挖掘工程师,本科,5-10年,深圳市云极软件有限公司,福田,1万-1.5万,1、大学本科以上学历，统计学、数学、计算机、信息处理等相关专业；2、熟练掌握SQL编程、熟练掌握office办公工具；3．熟悉或了解数据规划与数据架构建设、数据管控、数据治理等；4．具有数据仓库或数据湖的建设经验；5．具有需求分析、数据分析或者项目管理相关工作经验；6．5年以上工作经验，金融行业背景优先；
数据分析师,本科,不限,伍尔特电子(深圳)有限公司,深圳市龙岗区坪地中心社区埔仔路22号创世纪种业大厦,5千-1万,"Tasks:1. Collecting, sorting, extraction, distribution, statistics, Analysis,prediction and reporting of relevant data.2. Responsible for making monthly, quarterly and annual data reports.3. Understand problems through data analysis and propose Suggestions for improvement .Requirements:1.Bachelor degree or above, major in statistical analysis, information management, computer science or engineering is preferred.2. 1-3 years of work experience ,Good English communication skills, CET-4.3. Familiar with Execl / PPT/office software ,Master the basic principles and effective data analysis methods of data analysis.4. Your strength: Self-motivated; Team-player."
数据分析（信贷及金融类）,本科,3-5年,凤金普惠信息咨询(深圳)有限公司,凤金普惠信息咨询(深圳)有限公司,2万-4万,工作职责（1）为公司领导提供所需的数据分析报告；（2）对公司产品、数据源等进行每月监控和评估；（3）与业务部门紧密对接收集需求，进行数据分析并提出决策建议；（4）参与公司数据分析体系的规划和建设；（5）参与风控模型的建立，并对模型进行监控和优化；（6）根据公司业务发展的需求，梳理市场上的数据产品，选择合适的供应商进行接洽；（7）与业务部门协调，针对具体业务问题，参与研究影响客户借款风险度的潜在因素，进行数据分析验证并提出改善举措；（8）与数据供应商进行价格谈判、合作协议审核、数据测试及效果分析；（9）跟进数据供应商与技术部的数据接口对接，管理数据落地进程以及客户数据结构化存储于数据库系统，服务于业务发展需要；（10）完成部门领导安排的其他工作。任职要求1、本科以上学历，金融、数学、统计、财务、经济学或其他相关专业优先；2、两年以上金融行业工作经验，了解信贷专业知识，具备完备的风险防控知识体系；3、具有数据分析和逻辑推理能力，至少熟悉两种统计分析或数据挖掘工具SPSS、R、SAS、MATLAB等统计软件，对基本统计知识（聚类、分类、相关、回归分析等）、机器学习等有一定的了解和实践经验；4、具有很强的结构化逻辑思维能力，缜密的分析总结能力，具有良好的文字表达能力，沟通表达力较强，积极主动乐观；5、具备良好的沟通能力和团队合作精神，能独立完成挖掘项目的规划和实施。6、有小额信贷、信用卡等相关数据分析经验者优先考虑；7、熟悉信用贷款的评估、审批、监管等风险管理过程者优先。上班地点：深圳市南山区粤海街道高新南七道粤美特大厦22楼
数据分析专员,大专,1-3年,深圳市静甫服装设计有限公司,深圳市南山区民企科技园7栋6楼,8千-1万,岗位职责：负责淘宝店铺业务数据的收集与分析。负责淘宝店铺货品、活动数据整理与分析。负责销售数据、竞品数据、CRM系统数据分析。分析月上新报表。分析成衣采购数据、面辅料采买数据、供应商进度数据。固定报表的制作。岗位要求：2年以上服饰电商行业数据分析经验。大专及以上学历。熟练应用Excel、VBA、Oracle/SQL语言，能独立编写存储过程。使用过帆软或其它BI工具者优先。对数据敏感，善于团队沟通合作。
数据分析师,大专,3-5年,江西登云健康美业互联有限公司深圳分公司,隆昌路8号飞扬科技园A栋6层,1万-1.5万,"1.负责部门各项日常数据的汇总分析并按时上报。并进行监控、分析，能从数据异动中主动发现问题，为产品功能、内容输出、活动2.策划提供规划思路，并定期输出分析报告。3.基于公司业务形态，规划、设计、搭建运营常规化数据检测体系,并与开发团队协作形成可视化产品。4.具有一定活动策划经验，可独立完成活动策划、执行、落地，跟踪和分析平台营销活动，制定标准评估活动效果，并根据结果提出改善建议。5.通过数据分析，为平台商品规划提供可落地性建议，共同完成部门指标。6.基于现有的线上、线下数据，能够发现用户对平台的需求和业务场景。7.能承担压力，有独立解决问题的能力，能完成领导交代的其他工作。"
数据分析实习生,大专,不限,深圳市耀光佳捷科技有限公司,翻身,6千-8千,1、参与分布式数据仓库的主题模型设计和宽表开发工作；2、参与大数据分析需求设计和开发，承担数据抽取、清洗、转化等数据处理程序开发；3、参与大数据平台中实时计算和分布式并行计算的程序开发。岗位要求：1、专业不限，经济学、金融学、统计学、应用数学相关专业优先；2、对数据分析工作感兴趣，对数字较为敏感，能够熟练使用excel等办公软件；3．有较强的学习能力，对技术有钻研精神，并有较高的热情，热衷于新技术学习和实践；4．优秀的团队合作精神，对工作有热情，能够承受住压力；
数据分析专员,大专,不限,深圳市汇满正科技有限公司,龙华新区清湖地铁站附近,6千-8千,通过数据分析、研究用户的消费行为和用户需求，按照用户特征类，划分用户结构职位要求：1、大专及以上学历，数学、统计学、计算机等相关专业优先考虑；2、具备有较强的数据分析能力，精通excel、PPT，制图制表；3、拥有一定开发语言技能，Python、SQL等相关软件；4、一年以上相关工作经验优先考虑；5、团队合作精神佳、抗压能力强。
数据分析专员-----地铁口,本科,1年以下,深圳市小站练兵电子商务有限公司,龙岗区坂田街道永香路1号城市山海V谷5楼515室,6千-1.2万,岗位职责:1、通过内部数据、平台数据分析、竞争对手数据、行业数据、社会趋势等的分析，为新品研发提供数据支持；2、配合上级完成其他各类数据挖掘分析，并促进转化为业绩结果任职要求：1、 计算机、金融学、统计学、数学等相关专业，有电商运营数据分析经验者优先；2、良好的沟通能力，能熟练完成数据提取，数据分析，图标制作等流程，良好的适应能力及学习能力；3、能根据公司新品需求，对电商平台数据进行专项分析，并给出建议；4、逻辑思维严密，具备敏锐的洞察力和独立分析能力，较强的分析报告撰写能力和团队沟通协调能力。关于我们：我们的人才核心价值观--尊重、合作、共赢！我们的工作关系--平等、和谐、快乐的团队！我们的工作环境--宽松、舒适、灵活！我们的福利待遇-----五险一金，高底薪+高提成；极具挑战性的工作！我们的工作时间：上午9:00-12:00；下午13:30-18:00，大小周，可调休！乘车公交站：高力特附近地铁站：5号线杨美地铁站A出口
数据分析实习生,大专,不限,深圳优品科技有限公司,西丽,4千-6千,职位描述：1、参与分布式数据仓库的主题模型设计和宽表开发工作；2、参与大数据分析需求设计和开发，承担数据抽取、清洗、转化等数据处理程序开发；3、参与大数据平台中实时计算和分布式并行计算的程序开发。岗位要求：1、专业不限，经济学、金融学、统计学、应用数学相关专业优先；2、对数据分析工作感兴趣，对数字较为敏感，能够熟练使用excel等办公软件；3．有较强的学习能力，对技术有钻研精神，并有较高的热情，热衷于新技术学习和实践；4．优秀的团队合作精神，对工作有热情，能够承受住压力；
